event_id,date,flood_label,source,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,twi,rain_24h,ndwi,upstream_vv,rain_96h,temp_anomaly
HFE043,2021-02-15,0,FFWC dry season,-10.13,-18.65,0.5432,0.0,14.3,18.9,0.6,1.91,17.185,0.0,-0.4951,-9.74,0.0,-0.45
HFE044,2021-03-10,0,FFWC pre-monsoon dry,-11.23,-17.46,0.6432,6.8,25.7,22.2,3.1,1.91,17.185,4.7,-0.6428,-9.6,21.3,0.16
HFE045,2021-04-15,1,FFWC 2021 - pre-monsoon flash flood onset,-10.91,-16.47,0.6624,3.9,32.9,25.9,2.2,1.91,17.185,1.4,-0.1286,-9.25,3.9,1.07
HFE046,2021-06-15,1,FFWC records - monsoon flood,-14.04,-21.92,0.6405,20.9,41.2,27.5,4.2,1.91,17.185,29.6,-0.1716,-8.48,78.3,0.36
HFE047,2021-07-10,1,FFWC records - monsoon flood,-17.11,-24.79,0.6902,27.4,41.7,26.4,4.1,1.91,17.185,4.7,-0.0145,-8.53,107.7,-0.86
HFE048,2021-08-05,1,FFWC records - monsoon flood,-15.01,-23.35,0.6428,30.9,41.8,26.7,5.8,1.91,17.185,8.3,-0.1482,-8.27,99.2,-0.78
HFE049,2021-09-10,0,FFWC 2021 - post-monsoon recession,-16.26,-23.29,0.6982,12.9,41.2,28.0,1.1,1.91,17.185,1.5,0.0664,-8.02,27.9,-0.26
HFE050,2022-03-28,1,Bhuiyan et al. 2024 - pre-harvest flash flood,-12.2,-17.67,0.6904,5.4,23.2,25.1,2.2,1.91,17.185,1.0,-0.6007,-8.98,26.3,3.06
HFE051,2022-04-10,1,Bhuiyan et al. 2024 - 2022 flash flood peak,-11.56,-16.87,0.6852,7.8,37.7,25.5,3.1,1.91,17.185,12.0,-0.4407,-8.85,30.7,0.67
HFE052,2022-04-25,1,Bhuiyan et al. 2024 - recurrent flash flood,-11.55,-17.79,0.6492,9.7,41.1,25.0,4.1,1.91,17.185,5.1,-0.423,-8.45,37.3,0.17
HFE053,2022-06-15,1,FFWC - 2022 monsoon higher than 2021,-17.62,-24.08,0.7317,26.2,42.3,26.1,4.3,1.91,17.185,68.3,0.0474,-7.76,160.2,-1.04
HFE054,2022-07-10,1,FFWC - 2022 monsoon flood,-18.47,-24.35,0.7585,8.3,40.3,28.3,2.2,1.91,17.185,11.5,0.2701,-7.76,34.5,1.04
HFE055,2022-08-05,1,FFWC - 2022 monsoon flood,-18.22,-23.85,0.7639,15.1,41.7,27.3,2.9,1.91,17.185,17.6,0.0619,-9.42,55.2,-0.18
HFE056,2022-09-10,0,FFWC 2022 - post-monsoon recession,-16.45,-23.23,0.7081,18.3,41.0,27.6,1.4,1.91,17.185,33.6,0.2016,-8.97,42.5,-0.66
HFE057,2022-10-20,0,FFWC 2022 dry season,-17.86,-24.19,0.7383,4.2,38.0,26.0,0.6,1.91,17.185,0.0,0.1895,-8.63,8.5,-0.95
HFE058,2022-12-10,0,FFWC dry season,-14.42,-22.37,0.6446,0.0,15.8,21.0,0.4,1.91,17.185,0.0,-0.2424,-8.82,0.0,0.91
HFE059,2023-01-20,0,FFWC dry season,-11.06,-20.08,0.5508,0.1,14.8,16.6,0.2,1.91,17.185,0.0,-0.3695,-10.12,0.0,-0.43
HFE060,2023-02-15,0,FFWC dry season,-10.32,-18.07,0.5711,0.2,14.9,19.7,0.1,1.91,17.185,0.0,-0.5444,-10.14,0.1,0.35
HFE061,2023-05-10,0,ArcGIS 2024 - 2023 below average flood year,-9.22,-15.23,0.6054,8.7,35.9,27.1,1.0,1.91,17.185,0.6,-0.4921,-9.04,1.0,1.75
HFE062,2023-06-15,1,FFWC 2023 - localized monsoon flood event,-9.01,-16.33,0.5517,24.1,40.1,27.5,3.3,1.91,17.185,62.7,-0.2135,-9.04,138.0,0.36
HFE063,2023-07-01,0,ArcGIS 2024 - 2023 significantly below 2022,-19.28,-26.41,0.73,31.0,42.1,26.9,4.8,1.91,17.185,29.0,0.0998,-8.39,150.1,-0.36
HFE064,2023-08-10,1,FFWC 2023 - late monsoon flood,-16.45,-22.77,0.7224,39.1,42.5,26.6,3.3,1.91,17.185,51.3,,-7.94,195.8,-0.88
HFE065,2023-09-05,0,FFWC 2023 - post-monsoon,-17.29,-26.29,0.6577,4.7,39.3,29.0,1.3,1.91,17.185,2.9,0.1599,-8.98,23.1,0.74
HFE066,2023-11-10,0,FFWC 2023 dry season,-15.87,-24.0,0.6613,0.0,21.7,24.0,0.8,1.91,17.185,0.0,,-8.71,0.2,-1.4
HFE067,2023-12-10,0,FFWC dry season,-13.64,-22.41,0.6087,4.3,30.0,21.7,0.3,1.91,17.185,0.6,-0.2214,-9.0,29.3,1.61
HFE068,2024-01-20,0,FFWC dry season,-11.89,-21.5,0.553,0.1,17.5,16.5,0.9,1.91,17.185,0.0,-0.3563,-9.43,0.1,-0.53
HFE069,2024-02-15,0,FFWC dry season,-10.15,-18.75,0.5413,0.0,19.4,18.5,0.3,1.91,17.185,0.4,-0.5295,-8.97,0.4,-0.85
HFE070,2024-03-10,0,FFWC pre-monsoon dry,-10.9,-17.57,0.6204,0.1,18.1,21.0,0.0,1.91,17.185,0.0,-0.6225,-8.96,0.0,-1.04
HFE071,2024-04-05,0,FFWC pre-monsoon dry,-10.46,-16.57,0.6313,11.7,36.8,25.1,3.0,1.91,17.185,16.9,-0.5751,-8.31,43.7,0.27
HFE072,2024-04-25,1,FFWC 2024 - pre-monsoon flash flood onset,-10.09,-16.12,0.6259,4.7,36.9,27.3,5.1,1.91,17.185,0.6,-0.3461,-9.11,6.1,2.47
HFE073,2024-06-20,1,NAWG/UN June 2024 NE flood reports - Sylhet/Sunamganj >3M affected,-16.88,-29.24,0.5773,57.2,42.6,26.9,4.1,1.91,17.185,11.7,0.1374,-9.29,183.6,-0.24
HFE074,2024-07-10,1,UN/BDRCS July 2024 situation reports - second flood wave,-20.63,-28.51,0.7236,24.0,42.3,26.9,3.8,1.91,17.185,24.1,0.1157,-7.35,66.5,-0.36
HFE075,2024-08-01,1,FFWC 2024 - continued monsoon flooding,-22.17,-28.19,0.7864,11.4,40.8,29.2,5.2,1.91,17.185,47.4,0.2299,-7.67,110.7,1.72
HFE076,2024-09-10,0,FFWC 2024 - post-monsoon recession,-17.69,-26.69,0.6628,9.6,40.6,28.5,2.1,1.91,17.185,14.9,0.2103,-9.17,39.0,0.24
HFE077,2024-10-15,0,FFWC 2024 dry season,-16.43,-26.23,0.6264,6.3,40.5,26.0,1.8,1.91,17.185,0.1,0.1666,-7.83,2.2,-0.95
