date,flood_label,source,VV,VH,vv_vh_ratio,rainfall,soil_moisture,temp,wind,slope,twi,forecast_rain_next_12h,ndwi,upstream_vv,forecast_rain_72h,data_quality,temp_anomaly
2020-01-20,0,FFWC dry season,-12.83,-21.07,0.6089,0.1,18.4,18.5,0.4,1.91,17.185,0.7,-0.3419,-8.57,1.8,real_sar,1.47
2020-02-15,0,FFWC dry season,-10.08,-18.99,0.5308,0.0,15.3,18.4,0.5,1.91,17.185,0.2,-0.4537,-8.92,0.4,real_sar,-0.95
2020-03-10,0,FFWC pre-monsoon dry,-10.43,-17.31,0.6025,5.2,29.6,20.9,0.9,1.91,17.185,0.0,-0.6372,-8.68,3.5,real_sar,-1.14
2020-07-10,1,FFWC Annual Report 2020 - major flood,-17.27,-23.69,0.729,31.5,42.2,27.0,3.8,1.91,17.185,17.2,-0.0101,-9.27,80.9,real_sar,-0.26
2020-07-25,1,FFWC Annual Report 2020 - Google-BWDB data,-17.74,-25.28,0.7017,33.8,42.5,26.4,2.1,1.91,17.185,1.5,0.1015,-9.29,38.3,real_sar,-0.86
2020-08-10,1,FFWC Annual Report 2020 - major flood,-19.68,-25.71,0.7655,16.6,40.8,28.8,3.0,1.91,17.185,4.5,-0.0135,-8.54,40.1,real_sar,1.32
2020-09-01,1,FFWC Annual Report 2020 - extended flood,-17.48,-24.65,0.7091,21.7,42.0,27.1,3.3,1.91,17.185,24.4,0.1004,-8.77,147.1,real_sar,-1.16
2020-12-15,0,FFWC dry season,-13.73,-22.04,0.623,0.3,19.1,18.9,0.1,1.91,17.185,0.0,-0.2381,-9.04,0.0,real_sar,-1.19
2021-01-20,0,FFWC dry season,-12.12,-21.33,0.5682,0.1,14.5,16.8,0.4,1.91,17.185,1.6,-0.3233,-9.5,3.3,real_sar,-0.23
2021-02-15,0,FFWC dry season,-10.13,-18.65,0.5432,0.0,14.3,18.9,0.6,1.91,17.185,0.0,-0.4951,-9.74,0.0,real_sar,-0.45
2021-03-10,0,FFWC pre-monsoon dry,-11.23,-17.46,0.6432,6.8,25.7,22.2,3.1,1.91,17.185,0.5,-0.6428,-9.6,14.9,real_sar,0.16
2021-04-15,1,FFWC 2021 - pre-monsoon flash flood onset,-15.47,-20.85,0.716,18.8,39.0,27.0,18.4,1.91,17.185,2.8,-0.3093,-19.8,9.4,real_sar,2.17
2021-06-15,1,FFWC records - monsoon flood,-14.04,-21.92,0.6405,20.9,41.2,27.5,4.2,1.91,17.185,6.5,-0.1716,-8.48,40.9,real_sar,0.36
2021-07-10,1,FFWC records - monsoon flood,-17.11,-24.79,0.6902,27.4,41.7,26.4,4.1,1.91,17.185,8.6,-0.0145,-8.53,56.2,real_sar,-0.86
2021-08-05,1,FFWC records - monsoon flood,-15.01,-23.35,0.6428,30.9,41.8,26.7,5.8,1.91,17.185,3.1,-0.1482,-8.27,58.5,real_sar,-0.78
2021-09-10,0,FFWC 2021 - post-monsoon recession,-10.75,-17.46,0.6147,45.3,39.9,29.5,20.3,1.91,17.185,6.8,-0.4073,-9.35,22.6,real_sar,1.24
2022-03-28,1,Bhuiyan et al.2024 - pre-harvest flash flood,-12.2,-17.67,0.6904,5.4,23.2,25.1,2.2,1.91,17.185,4.5,-0.6007,-8.98,30.3,real_sar,3.06
2022-04-10,1,Bhuiyan et al.2024 - 2022 flash flood peak,-11.56,-16.87,0.6852,7.8,37.7,25.5,3.1,1.91,17.185,26.6,-0.4407,-8.85,77.6,real_sar,0.67
2022-04-25,1,Bhuiyan et al.2024 - recurrent flash flood,-11.55,-17.79,0.6492,9.7,41.1,25.0,4.1,1.91,17.185,0.3,-0.423,-8.45,24.1,real_sar,0.17
2022-06-15,1,FFWC - 2022 monsoon higher than 2021,-17.62,-24.08,0.7317,26.2,42.3,26.1,4.3,1.91,17.185,31.3,0.0474,-7.76,175.2,real_sar,-1.04
2022-07-10,1,FFWC - 2022 monsoon flood,-18.47,-24.35,0.7585,8.3,40.3,28.3,2.2,1.91,17.185,7.5,0.2701,-7.76,35.0,real_sar,1.04
2022-08-05,1,FFWC - 2022 monsoon flood,-18.22,-23.85,0.7639,15.1,41.7,27.3,2.9,1.91,17.185,8.9,0.0619,-9.42,97.5,real_sar,-0.18
2022-09-10,0,FFWC 2022 - post-monsoon recession,-10.86,-17.84,0.6234,170.3,55.5,28.2,14.4,1.91,17.185,25.5,-0.477,-11.77,85.2,real_sar,-0.06
2022-10-20,0,FFWC 2022 dry season,-11.54,-17.21,0.6252,25.2,38.3,27.1,10.7,1.91,17.185,3.8,-0.4281,-9.59,12.6,real_sar,0.15
2022-12-10,0,FFWC dry season,-14.42,-22.37,0.6446,0.0,15.8,21.0,0.4,1.91,17.185,0.0,-0.2424,-8.82,0.0,real_sar,0.91
2023-01-20,0,FFWC dry season,-11.06,-20.08,0.5508,0.1,14.8,16.6,0.2,1.91,17.185,0.0,-0.3695,-10.12,0.0,real_sar,-0.43
2023-02-15,0,FFWC dry season,-10.32,-18.07,0.5711,0.2,14.9,19.7,0.1,1.91,17.185,0.0,-0.5444,-10.14,0.0,real_sar,0.35
2023-05-10,0,ArcGIS 2024 - 2023 below average flood year,-9.22,-15.23,0.6054,8.7,35.9,27.1,1.0,1.91,17.185,1.6,-0.4921,-9.04,3.5,real_sar,1.75
2023-06-15,1,FFWC 2023 - localized monsoon flood event,-17.68,-23.09,0.8021,266.8,69.7,27.6,19.7,1.91,17.185,40.0,0.1482,-15.81,133.4,real_sar,0.46
2023-07-01,0,ArcGIS 2024 - 2023 significantly below 2022,-19.28,-26.41,0.73,31.0,42.1,26.9,4.8,1.91,17.185,29.2,0.0998,-8.39,217.3,real_sar,-0.36
2023-08-10,1,FFWC 2023 - late monsoon flood,-18.65,-24.47,0.7865,236.3,63.6,27.6,18.1,1.91,17.185,35.4,0.106,-17.7,118.2,real_sar,0.12
2023-09-05,0,FFWC 2023 - post-monsoon,-11.75,-18.56,0.6186,67.5,43.8,30.1,16.6,1.91,17.185,10.1,-0.4494,-9.23,33.8,real_sar,1.84
2023-11-10,0,FFWC 2023 dry season,-11.87,-17.59,0.6245,0.0,37.3,25.4,11.5,1.91,17.185,0.0,-0.4172,-11.35,0.0,real_sar,0.0
2023-12-10,0,FFWC dry season,-13.64,-22.41,0.6087,4.3,30.0,21.7,0.3,1.91,17.185,0.2,-0.2214,-9.0,13.1,real_sar,1.61
2024-01-20,0,FFWC dry season,-11.89,-21.5,0.553,0.1,17.5,16.5,0.9,1.91,17.185,0.0,-0.3563,-9.43,0.0,real_sar,-0.53
2024-02-15,0,FFWC dry season,-10.15,-18.75,0.5413,0.0,19.4,18.5,0.3,1.91,17.185,0.0,-0.5295,-8.97,0.0,real_sar,-0.85
2024-03-10,0,FFWC pre-monsoon dry,-10.9,-17.57,0.6204,0.1,18.1,21.0,0.0,1.91,17.185,0.0,-0.6225,-8.96,0.0,real_sar,-1.04
2024-04-05,0,FFWC pre-monsoon dry,-10.46,-16.57,0.6313,11.7,36.8,25.1,3.0,1.91,17.185,6.2,-0.5751,-8.31,30.7,real_sar,0.27
2024-04-25,1,FFWC/World Bank 2024 - flash flood onset,-15.35,-20.93,0.7119,16.5,34.3,27.5,21.7,1.91,17.185,2.5,-0.4064,-19.87,8.2,real_sar,2.67
2024-06-20,1,World Bank GRADE 2024 - 6.25M affected,-16.88,-29.24,0.5773,57.2,42.6,26.9,4.1,1.91,17.185,2.9,0.1374,-9.29,264.2,real_sar,-0.24
2024-07-10,1,World Bank GRADE 2024 - major flood,-20.63,-28.51,0.7236,24.0,42.3,26.9,3.8,1.91,17.185,9.9,0.1157,-7.35,56.4,real_sar,-0.36
2024-08-01,1,World Bank GRADE 2024 - worst in 120 years,-22.17,-28.19,0.7864,11.4,40.8,29.2,5.2,1.91,17.185,40.4,0.2299,-7.67,122.3,real_sar,1.72
2024-09-10,0,World Bank GRADE 2024 - post-peak recession,-11.23,-17.93,0.6269,61.5,42.2,29.2,17.9,1.91,17.185,9.2,-0.4738,-10.8,30.8,real_sar,0.94
2024-10-15,0,FFWC 2024 dry season,-11.28,-18.74,0.6145,46.4,40.7,26.8,11.2,1.91,17.185,7.0,-0.4235,-9.21,23.2,real_sar,-0.15
